REF,DOMN,INV,MUSEO,STAT,DENO,APPL,TITR,AUTR,ROLE,PAUT,GENRE,ECOL,ATTR,PERI,MILL,EPOQ,MILU,PEOC,GENE,HIST,LIEUX,PLIEUX,GEOHI,LOCA_PROV,PERU,DECV,PDEC,UTIL,PUTI,TECH,DIMS,INSC,PINS,ONOM,DESC,REPR,PREP,DREP,SREP,DACQ,APTN,DEPO,DDPT,ADPT,DATION,MANQUANT,MANQUANT_COM,COMM,EXPO,BIBL,DMIS,DMOIS,DMAJ,REDA,PHOT,DATA,LOCA3,IA,REFPAL,REFMEM,REFMER,REGION,DPT,VILLE_M,NOMOFF,LOCA,custom_LOCA
Référence de la notice,Domaine,Numéro d'inventaire,Lien Muséofile,Statut juridique,Dénomination,Appellation,Titre,Auteur,Rôle,Précisions sur l'auteur,Genre du ou des auteurs,École (pays),Anciennes attributions,Période de création,Millésime de création,Époque,Millésime d'utilisation,Période de l'original copié,Genèse,Historique,Lieu de création / utilisation,"Précisions sur le lieu de création, d'exécution ou d'utilisation",Lieu historique,Provenance du bien,Période d'utilisation,Découverte / collecte,Précisions sur la découverte ou la collecte,Utilisation / destination,Précisions sur l'utilisation,Matériaux et techniques,Mesures,Inscriptions,Précisions sur les inscriptions,Onomastique,Description,Sujet représenté,Précisions sur le sujet représenté,Date du sujet représenté,Source de la représentation,Date d'acquisition,Anciennes appartenances,Lieu de dépôt,Date de dépôt,Ancien dépôt,Dation,Situation particulière,Précisions sur une situation particulière,Commentaires,Exposition,Bibliographie,Date de création,Date de moissonnage de la notice,Date de mise à jour,Rédacteur de la notice,Crédits photographiques,Artiste sous droits,Année d'entrée dans le domaine public,Droits de reproduction et de représentation,Références Palissy liées,Références Mémoire liées,Références Mérimée liées,Région,Département,Ville,Nom du musée,Localisation,Lieu de conservation
50030030797,sculpture ; médiéval,"Cl. 22897 ; X.D. 82 (cat. sculpture romane, 2005)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,"Statue de femme, fragment (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,objet en rapport,"provient de la cathédrale Notre-Dame de Paris ; voir aussi : Reine de l'Ancien Testament (Cl. 22892), Torse de reine (Cl. 22976)",France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 20.3 ; Largeur en cm : 11.5 ; Profondeur en cm : 10,,,,calcaire lutétien,"figure (femme, manteau)",Saignée du bras gauche d'une femme recouverte d'un manteau,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°82, p. 92)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030798,sculpture ; médiéval,"Cl. 22906 ; X.D. 88 (cat. sculpture romane, 2005) ; A.E.B. 21 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,"Statue-colonne, fragment (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 15.5 ; Largeur en cm : 8.5 ; Profondeur en cm : 4,,,,calcaire lutétien,draperie,Ce fragment présente quelques plis de draperie et un objet difficilement identifiable,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°88, p. 97)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030799,sculpture ; médiéval,"Cl. 22909 ; X.D. 91 (cat. sculpture romane, 2005) ; A.E.B. 24 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,fragment ; statue,,"Statue-colonne, fragment (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 9.2 ; Largeur en cm : 16 ; Profondeur en cm : 9.6,,,,calcaire lutétien,,Fragment comportant quelques plis fins et serrés,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°91, p. 98)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030800,sculpture ; médiéval,"Cl. 22914 ; X.D. 96 (cat. sculpture romane, 2005) ; A.E.B. 29 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,fragment ; statue,,Fragment de statue-colonne (cathédrale Notre-Dame de Paris),,,,,,,2e quart 12e siècle,1145 vers,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 11.5 ; Largeur en cm : 4.8 ; Profondeur en cm : 4.2,,,,calcaire lutétien,,Fragment de plis,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°96, p. 101)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030801,sculpture ; médiéval,"Cl. 22915 ; X.D. 97 (cat. sculpture romane, 2005) ; A.E.B. 30 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,fragment ; statue,,Fragment Statue-colonne (cathédrale Notre-Dame de Paris),,,,,,,2e quart 12e siècle,1145 vers,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 5 ; Largeur en cm : 11.5 ; Profondeur en cm : 13,,,,calcaire lutétien,,Fragment de deux séries de plis,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°97, p. 101)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030802,sculpture ; médiéval,"Cl. 22908 ; X.D. 90 (cat. sculpture romane, 2005) ; A.E.B. 23 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,"Statue-colonne, fragment (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 13.5 ; Largeur en cm : 15 ; Profondeur en cm : 5,,,,calcaire lutétien,,Fragment comportant trois plis verticaux,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°90, p. 98)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030803,sculpture ; médiéval,"Cl. 22913 ; X.D. 95 (cat. sculpture romane, 2005) ; A.E.B. 27 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,Fragment de statue-colonne (cathédrale Notre-Dame de Paris),,,,,,,2e quart 12e siècle,1145 vers,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 7 ; Largeur en cm : 18 ; Profondeur en cm : 17,,,,"fragment allongé, calcaire lutétien",,,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°95, p. 100)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030030804,sculpture ; médiéval,"Cl. 22905 ; X.D. 87 (cat. sculpture romane, 2005) ; A.E.B. 20 (cat. sculptures de Notre-Dame, 1982)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,"Statue-colonne, fragment (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 18 ; Largeur en cm : 9 ; Profondeur en cm : 4.5,,,,calcaire lutétien,personnage ; partie du corps ; bras,Figure un personnage accroupi dont subsiste l'avant-bras et l'épaule droite,,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°87, p. 96)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030035407,sculpture ; médiéval,"Cl. 22900 ; A.E.B. 14 (cat. sculptures de Notre-Dame, 1982) ; X.D. 83 (cat. sculpture romane, 2005)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,statue ; fragment,,statue : Reine de l'Ancien Testament (cathédrale Notre-Dame de Paris),anonyme,,,,France,,2e quart 12e siècle,1145 vers,,,,,,France ; Ile-de-France ; Paris (lieu de création),,,,,,,,,calcaire,Hauteur en cm : 31 ; Largeur en cm : 78 ; Epaisseur en cm : 13,,,,calcaire lutétien,"figure (reine, manteau, robe)","Fragment du manteau de la statue d'une reine de l'Ancien Testament du portail de Sainte-Anne. Trois morceaux du pan droit du manteau, légèrement ouvert sur la robe dont on distingue quelques plis en V. Identifié grâce à la gravure de Montfaucon dans Monumens...",,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Thirion J., 'Les plus anciennes sculptures de Notre-Dame de Paris', dans Comptes-rendus de l'Académie des inscriptions et belles-lettres, 1970, pp. 85-112 (p. 85-112)#Erlande-Brandenburg et Kimpel, 'La statuaire de Notre-Dame de Paris avant les destructions révolutionnaires', 1978, p. 213-266.#Erlande-Brandenburg (Alain). - Les Sculptures de Notre-Dame de Paris au musée de Cluny. - Paris : Réunion des musées nationaux, 1982. - 131 p. : ill. ; 27 cm. (n° 13)#Erlande-Brandenburg, Revue du Louvre, 1985, 3 (p. 174-184)#Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°82, p. 92)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50030035421,sculpture ; médiéval,"Cl. 22912 ; A. E. B. 27 (cat. sculptures de Notre-Dame, 1982) ; X.D. 94 (cat. sculpture romane, 2005)",M5003,propriété de l'Etat ; don manuel ; musée national du Moyen Age - Thermes de Cluny,fragment ; statue-colonne,,"Statue-colonne, fragment de draperie (cathédrale Notre-Dame de Paris)",,,,,,,2e quart 12e siècle,1145 vers,,,,,"provient de la cathédrale Notre-Dame de Paris, portail sainte Anne (?)",France ; Ile-de-France ; Paris (lieu de création),,,,,"France ; Ile-de-France ; Paris (hôtel Moreau, lieu de découverte) ; fouilles ; (1977, date de découverte)","Sous-sols de la Banque Française de Commerce Extérieur, devenue Natexis Banque",,,calcaire,Hauteur en cm : 21 ; Diamètre en cm : 18 ; Epaisseur en cm : 9,,,,calcaire lutétien,figure (Apôtre),"Sur l'une des faces conservées de ce fragment, on trouve quelques plis fins et verticaux, sur l'autre des traces de drapé.",,,1980,"Collection privée, Banque française du commerce extérieur (Natexis)",,,,,,,,,"Erlande-Brandenburg (Alain). - Les Sculptures de Notre-Dame de Paris au musée de Cluny. - Paris : Réunion des musées nationaux, 1982. - 131 p. : ill. ; 27 cm. (n° 26)#Dectot (Xavier), Sculptures des XIe-XIIe siècles. Roman et premier art gothique, Paris, RMN, 2005. (n°93, p. 99)",2007-03-30,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée du Moyen Age - thermes et hôtel de Cluny,Paris ; musée national du Moyen Age - Thermes de Cluny,Paris ; musée du Moyen Age - thermes et hôtel de Cluny
50060002421,peinture ; Asie orientale,MA 6331,M5005,propriété de l'Etat ; donation ; musée national des Arts asiatiques - Guimet,rouleau vertical ; kakémono,,Dame de la rivière Xiang,ZHANG DAQIAN,,"?, 1899 ; ?, 1983",,Chine,,3e quart 20e siècle,1974,,,,oeuvre en rapport,"La légende de la 'Dame de la rivière Xiang' fait partie de 'Neuf Chants,' odes chamaniques de l'Etat de Chu du quatrième siècle avant notre ère, parfois attribués au poète Qu Yuan. Le sujet a souvent été représenté en peinture, notamment par Li Gonglin (1040-1106) et par Zhang Wu (v. 1340-1365). Voir catalogues : 'Eigt Dynasties' et 'Orchideen und Felsen' (Bibliographie, autres références). Une interprétation différente se trouve dans: Mathieu, Rémi. Anthologies des mythes et légendes de la Chine ancienne, chap. (82) Les dames de la Xiang, p. 179-181. Il s'agit alors des deux filles de l'empereur Yao, épouses de l'empereur Shun, enterrées à cet endroit",,,,,,,,,,"encre, soie",H. 169 ; L. 73 ; H. avec montage 280 ; L. avec montage 100,calligraphie ; signé ; daté ; cachet,"En bas à droite, trois lignes d'écriture semi-cursive, colophon signé Zhang Daqian et daté le 13 janvier 1974. En bas à gauche, sur le montage, un cachet rectangulaire",,encre avec couleurs légères sur soie,"scène (divinité : femme, noblesse, dans les airs, feuillu, nuage)","La figure mythique (fille de l'Empereur Yao), déesse invoquée dans les rites d'automne, est représentée vêtue de blanc, la tête couverte par un pas de l'étoffe. Elle semble se tenir dans les airs, ou encore reposer sur les eaux du lac Dongting où les feuilles rouges d'automne tombent. A la manière 'baimiao' de la figure s'oppose la composition abstraite de grandes taches colorées vert de malachite, bleu de lapis, formant comme un ciel nuageux",,,1997 entrée matérielle,Chang Hui Wen-po ; Yonfan Man-shih,,,,,,,,"Zhang Taqian. Musée national du Palais, Taipei, 1998-99","Challenging the Past. The Painting of Chang Dai-chien. Shen C.Y. Fu, with major contribution and translated by Jan Stuart. Washington, Smithsonian Institution, 1991. 328 p., ill., bibliogr., index. (69058-105-III) (p. 280, n° 78) ; Giès, Jacques. La donation Yonfan. La Revue du Louvre et des Musées de France, Paris, n. 2, 1998, p. 15-18, ill. (n. 2, p. 15-18, ill.) ; [J.G.] [Giès, Jacques], Acquisitions. Chine (peinture - art bouddhique) et Asie centrale. Arts asiatiques, vol. 53, 1998, p. 71-75, ill. (p. 74-75) ; Eight Dynasties of Chinese Painting: the Collections of the Nelson Gallery-Atkins Museum, Kansas City, and the Cleveland Museum of Art. With Essays by Wai-kam Ho, Sherman E. Lee, Laurence Sickman, Marc F. Wilson. Cleveland Museum of Art & Indiana University Press, 1980. 56, 408 p., ill., bibliogr., index. (Cat. n° 96, 'The Nine Songs', p. 119-122, ill.) ; Ledderose, Lothar. Orchideen und Felsen. Chinesischer Bilder im Museum für Ostasiatische Kunst Berlin. Staatliche Museen zu Berlin - Preussischer Kulturbesitz, 1998. 567 p., ill., glossaire, bibliographie. (76377-1212-III) (Cat. n° 44, 'Neun Gesänge', p. 324-334, ill.)",2002-10-15,,2026-02-23,,,,,,,,,Ile-de-France,Paris,Paris,musée des Arts Asiatiques Guimet,Paris ; musée national des Arts asiatiques - Guimet,Paris ; musée des Arts Asiatiques Guimet
50110000805,peinture,1938 F 567,M5011,propriété de l'Etat ; legs ; musée national Magnin,tableau,,L'Assomption,LA FOSSE Charles de (peintre),,"LA FOSSE : Paris, 1636 ; Paris, 1716 ; nationalité : Française",,France,,4e quart 17e siècle,1675 vers,,,,esquisse ; oeuvre en rapport,"La vente après décès Coypel de 1753 ne mentionne pas les dimensions de l'oeuvre. ; Il s'agit de l'esquisse définitive, peinte sur une toile de format carré, pour la fresque de la coupole de l'église Notre-Dame-de-l'Assomption à Paris. Le musée des Beaux-Arts de Caen conserve une autre version (inv. 64.4.1) provenant de la vente après décès de F. Boucher (18/02/1771, Paris, n° 58) qui pourrait être, en raison des nombreuses différences, préparatoire à une autre composition (C. Gustin-Gomez, com. orale).",,,,,,,,,,"peinture à l'huile, toile",Format circulaire ; Diamètre 0.910 (vue peinte) ; Hauteur 0.912 (extérieur de l'oeuvre) ; Largeur 0.918 (extérieur de l'oeuvre),étiquette annotée,"étiquette annotée, Châssis, revers, de la main  de M. Magnin, à la plume et encre brune (en partie déchirée) : 'Charles de Laffosse/ L'Assomption/ Exécution à échelle réduite de/ [...] peinture destinée à la coupole,/ [...] église de ce nom à Paris Fg St Honoré'",,,"scène biblique (Assomption, ange, dans les airs, allégorie, nuage)",,,,1938,"Coypel Charles-Antoine, Vente après décès, 1753/03/27, Paris, (n° 60 (probablement la version du musée Magnin, mais sans indications de dimensions)) ; Conti prince de, Vente, 1777/04/08, Paris, Palais du Temple, (n° 595 (annoté sur le catalogue :' Lebrun 720')) ; Conti prince de, Vente, 1779/03/15, Paris, hôtel d'Aligre, (n° 74 (annoté : 'St Yves, 681' - Croquis par Saint-Aubin)) ; Vente, 1926/12/03, Paris, hôtel Drouot, (n° 49 (Ecole italienne XVIIe)) ; Magnin Maurice",,,,,,,,,"J. Magnin, Musée Magnin. Peintures et dessins de l'école française, Dijon, 1938 (n° 567)#M. Stuffmann, 'Charles de La Fosse et sa position dans la peinture française à la fin du XVIIème siècle', Gazette des Beaux-Arts, juillet-août 1964, p. 1-121 (p. 99 n° 12)#C. Wright, The french painters of the XVIIth century, Boston, 1985 (p. 190)#B. Bobrie, Tableaux et dessins français du XVIIe siècle du musée Magnin. Peintres nés avant 1650, mémoire de maîtrise sous la direction d'A. Schnapper, université de Paris IV, 1986 (n° 25 p. 34)#P. Rosenberg, dans cat. exp. Fragonard, Paris, Galeries nationales du Grand Palais, New York, The Metropolitan Museum of Art, 1987-1988 (p. 295 fig. 2)#A. Chereau, Charles de La Fosse et le grand décor (1636-1716), mémoire de maîtrise sous la direction d'A. Schnapper, Université de Paris IV, 1992 (n° 4 D et p. 26, vol. I)#F. Debaisieux, Caen musée des Beaux-Arts. Peintures françaises des XVIIe et XVIIIe siècles, Inventaire des collections publiques françaises, 44, Paris, 2000 (p. 82-83, fig. 47a)#L. Starcky, Dijon musée Magnin. Les Peintures françaises, catalogue sommaire illustré, préface d'Emmanuel Starcky, avec la participation d'Hélène Isnard, Paris, 2000 (n° 293, p. 116 repr.)#D. Jacquot, in La Place Vendôme. Art, pouvoir et fortune, Paris, 2002 (p. 50)#C. Gustin-Gomez, Charles de La Fosse 1636 - 1716, Paris, 2006 ((vol. I) p. 199 repr., (vol. II) P. 34 p. 26-27 repr.)#L.A. Prat, Le dessin français au XVIIe siècle, Paris, 2013 (p. 595)#C. Gustin-Gomez in cat. exp. Charles de La Fosse (1636-1716). Le triomphe de la couleur, château de Versailles, février - mai 2015, musée des Beaux-Arts de Nantes, juin - septembre 2015 (p. 27, fig. 4 p. 28)",2002-09-11,,2026-02-23,,© Réunion des musées nationaux - utilisation soumise à autorisation ; (C) René Gabriel Ojéda,,,,,,,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,musée national Magnin,Dijon ; musée national Magnin,Dijon ; musée national Magnin
